vgs,vsb,vds,total_fins,length,gm,cdd,vth,gds,id,cds,cgg,cgd,cgs,
280e-3,0,0,20,14e-9,0,243.033e-18,306.421e-3,567.213e-6,-682.46e-15,-38.0609e-18,679.238e-18,234.619e-18,234.619e-18,
300e-3,0,0,20,14e-9,0,258.823e-18,306.421e-3,778.444e-6,-936.227e-15,-46.3482e-18,727.393e-18,258.697e-18,258.697e-18,
320e-3,0,0,20,14e-9,0,273.717e-18,306.421e-3,1.0228e-3,-1.2614e-12,-54.3492e-18,773.183e-18,281.592e-18,281.592e-18,
340e-3,0,0,20,14e-9,0,287.633e-18,306.421e-3,1.2950e-3,-1.6700e-12,-61.9885e-18,816.293e-18,303.147e-18,303.147e-18,
360e-3,0,0,20,14e-9,0,300.64e-18,306.421e-3,1.5895e-3,-2.1752e-12,-69.2663e-18,856.863e-18,323.431e-18,323.431e-18,
380e-3,0,0,20,14e-9,0,312.847e-18,306.421e-3,1.9013e-3,-2.7921e-12,-76.2055e-18,895.156e-18,342.578e-18,342.578e-18,
400e-3,0,0,20,14e-9,0,324.357e-18,306.421e-3,2.2256e-3,-3.5381e-12,-82.8283e-18,931.421e-18,360.71e-18,360.71e-18,
420e-3,0,0,20,14e-9,0,335.248e-18,306.421e-3,2.5585e-3,-4.4330e-12,-89.1499e-18,965.845e-18,377.923e-18,377.923e-18,
440e-3,0,0,20,14e-9,0,345.577e-18,306.421e-3,2.8964e-3,-5.4995e-12,-95.179e-18,998.562e-18,394.281e-18,394.281e-18,
460e-3,0,0,20,14e-9,0,355.385e-18,306.421e-3,3.2365e-3,-6.7636e-12,-100.92e-18,1.0296e-15,409.83e-18,409.83e-18,
480e-3,0,0,20,14e-9,0,364.703e-18,306.421e-3,3.5765e-3,-8.2550e-12,-106.374e-18,1.0592e-15,424.603e-18,424.603e-18,
500e-3,0,0,20,14e-9,0,373.552e-18,306.421e-3,3.9145e-3,-10.0074e-12,-111.544e-18,1.0872e-15,438.622e-18,438.622e-18,
520e-3,0,0,20,14e-9,0,381.951e-18,306.421e-3,4.2489e-3,-12.0592e-12,-116.432e-18,1.1138e-15,451.909e-18,451.909e-18,
540e-3,0,0,20,14e-9,0,389.917e-18,306.421e-3,4.5786e-3,-14.4542e-12,-121.041e-18,1.1389e-15,464.483e-18,464.483e-18,
560e-3,0,0,20,14e-9,0,397.464e-18,306.421e-3,4.9027e-3,-17.242e-12,-125.377e-18,1.1627e-15,476.366e-18,476.366e-18,
580e-3,0,0,20,14e-9,0,404.607e-18,306.421e-3,5.2205e-3,-20.4788e-12,-129.446e-18,1.1851e-15,487.578e-18,487.578e-18,
600e-3,0,0,20,14e-9,0,411.363e-18,306.421e-3,5.5316e-3,-24.2285e-12,-133.256e-18,1.2062e-15,498.144e-18,498.144e-18,
620e-3,0,0,20,14e-9,0,417.746e-18,306.421e-3,5.8355e-3,-28.5635e-12,-136.817e-18,1.2261e-15,508.088e-18,508.088e-18,
640e-3,0,0,20,14e-9,0,423.774e-18,306.421e-3,6.1322e-3,-33.5656e-12,-140.138e-18,1.2448e-15,517.437e-18,517.437e-18,
660e-3,0,0,20,14e-9,0,429.461e-18,306.421e-3,6.4214e-3,-39.3275e-12,-143.231e-18,1.2624e-15,526.217e-18,526.217e-18,
680e-3,0,0,20,14e-9,0,434.824e-18,306.421e-3,6.7031e-3,-45.9539e-12,-146.107e-18,1.2789e-15,534.456e-18,534.456e-18,
700e-3,0,0,20,14e-9,0,439.881e-18,306.421e-3,6.9774e-3,-53.5634e-12,-148.776e-18,1.2943e-15,542.182e-18,542.182e-18,
