vgs,vsb,vds,total_fins,length,gm,cdd,vth,gds,id,cds,cgg,cgd,cgs
780e-3,0,0,20,14e-9,0,499.698e-18,358.331e-3,5.4190e-3,-113.094e-12,-175.365e-18,1.4879e-15,635.994e-18,635.994e-18
800e-3,0,0,20,14e-9,0,504.665e-18,358.331e-3,5.6075e-3,-130.461e-12,-177.869e-18,1.5029e-15,643.464e-18,643.464e-18
0,0,0,40,14e-9,0,281.258e-18,362.06e-3,18.677e-9,5.1376e-54,-3.7128e-21,838.247e-18,203.123e-18,203.123e-18
20e-3,0,0,40,14e-9,0,287.476e-18,362.06e-3,36.3714e-9,-16.2689e-15,-7.2656e-21,850.69e-18,209.345e-18,209.345e-18
40e-3,0,0,40,14e-9,0,293.825e-18,362.06e-3,70.8281e-9,-26.1414e-15,-14.2195e-21,863.402e-18,215.701e-18,215.701e-18
60e-3,0,0,40,14e-9,0,300.243e-18,362.06e-3,137.922e-9,-30.2589e-15,-27.8301e-21,876.267e-18,222.133e-18,222.133e-18
80e-3,0,0,40,14e-9,0,306.666e-18,362.06e-3,268.553e-9,-29.2514e-15,-54.4668e-21,889.165e-18,228.583e-18,228.583e-18
100e-3,0,0,40,14e-9,0,313.034e-18,362.06e-3,522.834e-9,-23.8084e-15,-106.58e-21,902.005e-18,235.003e-18,235.003e-18
120e-3,0,0,40,14e-9,0,319.312e-18,362.06e-3,1.0175e-6,-15.0492e-15,-208.459e-21,914.764e-18,241.382e-18,241.382e-18
140e-3,0,0,40,14e-9,0,325.515e-18,362.06e-3,1.9794e-6,-9.8198e-15,-407.319e-21,927.569e-18,247.784e-18,247.784e-18
